Incident energy 	 
Incident energy 	 
Incident energy 	 σ(E)
1970170.0 	 0.1889359
1971690.0 	 0.1886245
1972200.0 	 0.18852
1973210.0 	 0.1849939
1974740.0 	 0.1796523
1976260.0 	 0.1743456
1977790.0 	 0.169004
1979320.0 	 0.1636624
1980860.0 	 0.1582859
1982390.0 	 0.1529443
1983920.0 	 0.1476027
1985460.0 	 0.1422262
1986620.0 	 0.1381764
1987390.0 	 0.1354881
1988160.0 	 0.1327999
1988930.0 	 0.1301116
1989700.0 	 0.1274234
1990470.0 	 0.1247351
1991240.0 	 0.1220469
1992020.0 	 0.1193237
1992790.0 	 0.1166355
1993560.0 	 0.1139472
1994340.0 	 0.1112241
1995110.0 	 0.1085358
1997300.0 	 0.10089
1999180.0 	 0.09986018
2000000.0 	 0.099411
2001130.0 	 0.09889113
2003080.0 	 0.09799401
2005030.0 	 0.09709689
2006980.0 	 0.09619977
2008930.0 	 0.09530266
2010890.0 	 0.09440094
2012850.0 	 0.09349922
2014820.0 	 0.0925929
2016780.0 	 0.09169118
2018750.0 	 0.09078486
2020730.0 	 0.08987394
2022700.0 	 0.08896762
2024680.0 	 0.0880567
2026660.0 	 0.08714577
2028650.0 	 0.08623025
2030630.0 	 0.08531933
2032620.0 	 0.08440381
2032800.0 	 0.084321
2034620.0 	 0.09187665
2036610.0 	 0.100138
2038010.0 	 0.1059501
2038810.0 	 0.1092712
2039610.0 	 0.1125924
2040410.0 	 0.1159136
2041220.0 	 0.1192762
2042020.0 	 0.1225974
2042820.0 	 0.1259186
2043620.0 	 0.1292397
2044430.0 	 0.1326024
2045230.0 	 0.1359236
2046440.0 	 0.1409468
2048050.0 	 0.1476307
2049300.0 	 0.15282
2051280.0 	 0.1923108
2052890.0 	 0.2244219
2054510.0 	 0.2567326
2056130.0 	 0.2890432
2057350.0 	 0.3133759
2058000.0 	 0.32634
2058160.0 	 0.3284632
2058970.0 	 0.3392119
2059780.0 	 0.3499606
2060600.0 	 0.360842
2061410.0 	 0.3715907
2062220.0 	 0.3823394
2063040.0 	 0.3932208
2063850.0 	 0.4039695
2064000.0 	 0.40596
2064670.0 	 0.3898921
2065480.0 	 0.3704667
2066300.0 	 0.3508015
2067520.0 	 0.3215435
2069160.0 	 0.282213
2070100.0 	 0.25967
2070800.0 	 0.25152
2072440.0 	 0.2324257
2073600.0 	 0.21892
2074080.0 	 0.2261244
2075720.0 	 0.2507396
2077370.0 	 0.2755048
2079020.0 	 0.30027
2080250.0 	 0.3187314
2081900.0 	 0.3434966
2082730.0 	 0.3559543
2083560.0 	 0.3684119
2084380.0 	 0.3807195
2085210.0 	 0.3931772
2086040.0 	 0.4056348
2086600.0 	 0.41404
2086870.0 	 0.412862
2087700.0 	 0.4092409
2088530.0 	 0.4056198
2089360.0 	 0.4019986
2090190.0 	 0.3983775
2091020.0 	 0.3947563
2091850.0 	 0.3911352
2092680.0 	 0.3875141
2093510.0 	 0.3838929
2094350.0 	 0.3802281
2094400.0 	 0.38001
2095180.0 	 0.3393393
2096010.0 	 0.2960616
2097270.0 	 0.2303629
2098700.0 	 0.1558
2098940.0 	 0.1533368
2100000.0 	 0.1424579
2100610.0 	 0.1361973
2102290.0 	 0.1189552
2105600.0 	 0.084984
2105640.0 	 0.08591278
2107320.0 	 0.1249213
2109010.0 	 0.1641621
2110270.0 	 0.1934185
2111110.0 	 0.2129228
2111960.0 	 0.2326592
2113640.0 	 0.2716678
2114490.0 	 0.2914042
2115200.0 	 0.30789
2115340.0 	 0.3088238
2116180.0 	 0.3144266
2117030.0 	 0.3200961
2117880.0 	 0.3257656
2118720.0 	 0.3313684
2119570.0 	 0.3370379
2120420.0 	 0.3427074
2121200.0 	 0.34791
2121270.0 	 0.346606
2122120.0 	 0.3307718
2123820.0 	 0.2991034
2124670.0 	 0.2832692
2125740.0 	 0.2633368
2127010.0 	 0.2396786
2128290.0 	 0.2158342
2130000.0 	 0.1839795
2132140.0 	 0.1441146
2134200.0 	 0.10574
2134280.0 	 0.1057654
2136430.0 	 0.1064472
2138580.0 	 0.107129
