time	V(n003)*10	V(n009)*10
7.785000000038117e-06	-5.866474e-19	-2.915241e-07
7.805000000038215e-06	6.432293e-19	-2.915241e-07
7.825000000038313e-06	-4.496207e-19	-2.915241e-07
7.845000000038412e-06	6.641157e-19	-2.915241e-07
7.865000000038510e-06	-4.490380e-19	-2.915241e-07
7.885000000038608e-06	-2.301788e-20	-2.915241e-07
7.905000000038706e-06	7.970574e-20	-2.915241e-07
7.925000000038804e-06	1.144062e-19	-2.915241e-07
7.945000000038902e-06	-5.866870e-19	-2.915241e-07
7.965000000039000e-06	6.432426e-19	-2.915241e-07
7.985000000039098e-06	-4.496603e-19	-2.915241e-07
8.005000000039196e-06	6.641158e-19	-2.915241e-07
8.025000000039294e-06	-4.490511e-19	-2.915241e-07
8.045000000039392e-06	5.479315e-20	-2.915241e-07
8.065000000039490e-06	1.089495e-19	-2.915241e-07
8.085000000039588e-06	3.457760e-21	-2.915241e-07
8.105000000039686e-06	-3.301342e-22	-2.915241e-07
8.125000000039784e-06	-2.241686e-22	-2.915241e-07
8.145000000039882e-06	-2.374028e-22	-2.915241e-07
8.165000000039981e-06	-2.109037e-22	-2.915241e-07
8.185000000040079e-06	-2.241379e-22	-2.915241e-07
8.205000000040177e-06	-2.241277e-22	-2.915241e-07
8.225000000040275e-06	-1.843842e-22	-2.915241e-07
8.245000000040373e-06	-1.976184e-22	-2.915241e-07
8.265000000040471e-06	-5.824090e-19	-2.915241e-07
8.285000000040569e-06	6.537456e-19	-2.915241e-07
8.305000000040667e-06	-4.475808e-19	-2.915241e-07
8.325000000040765e-06	6.636126e-19	-2.915241e-07
8.345000000040863e-06	-4.494483e-19	-2.915241e-07
8.365000000040961e-06	-2.305737e-20	-2.915241e-07
8.385000000041059e-06	7.965301e-20	-2.915241e-07
8.405000000041157e-06	1.143799e-19	-2.915241e-07
8.425000000041255e-06	-5.866736e-19	-2.915241e-07
8.445000000041353e-06	6.432296e-19	-2.915241e-07
8.465000000041452e-06	-4.496468e-19	-2.915241e-07
8.485000000041550e-06	6.641027e-19	-2.915241e-07
8.505000000041648e-06	-4.490509e-19	-2.915241e-07
8.525000000041746e-06	-2.304404e-20	-2.915241e-07
8.545000000041844e-06	7.966634e-20	-2.915241e-07
8.565000000041942e-06	1.144065e-19	-2.915241e-07
8.585000000042040e-06	1.003143e-19	-2.915241e-07
8.605000000042138e-06	-5.500394e-19	-2.915241e-07
8.625000000042236e-06	6.329388e-19	-2.915241e-07
8.645000000042334e-06	-4.634872e-19	-2.915241e-07
8.665000000042432e-06	-5.534915e-21	-2.915241e-07
